Word;Count;Probability;Huffman Code;Max Length Code
message;14;0.00247%;1011010000000;
expectation;14;0.00247%;1011010000000;
definitely;14;0.00247%;1011010000000;
petition;14;0.00247%;1010110000000;
containing;14;0.00247%;1011100000000;
afternoon;14;0.00247%;1011100000000;
blessing;14;0.00247%;1011000000000;
awhile;14;0.00247%;1011000000000;
resist;14;0.00247%;1011010000000;
stooping;14;0.00247%;1011010000000;
flung;14;0.00247%;1011010000000;
talks;14;0.00247%;1001110000000;
chances;14;0.00247%;1011010000000;
wedding;14;0.00247%;1011000000000;
dreamed;14;0.00247%;1011000000000;
golden;14;0.00247%;1100110000000;
sensation;14;0.00247%;1011000000000;
packing;14;0.00247%;1011000000000;
twitched;14;0.00247%;1011000000000;
braunau;14;0.00247%;1001110000000;
roofs;14;0.00247%;1011000000000;
commissariat;14;0.00247%;1010100000000;
relating;14;0.00247%;1010100000000;
personage;14;0.00247%;1011100000000;
greatcoat;14;0.00247%;1011100000000;
singers;14;0.00247%;1010100000000;
leader;14;0.00247%;1010100000000;
francis;14;0.00247%;1100110000000;
await;14;0.00247%;1011110000000;
disliked;14;0.00247%;1011110000000;
irritated;14;0.00247%;1011010000000;
jest;14;0.00247%;1001110000000;
waving;14;0.00247%;1011010000000;
sold;14;0.00247%;1011110000000;
bogdnich;14;0.00247%;1011110000000;
newcomer;14;0.00247%;1001110000000;
bridges;14;0.00247%;1011010000000;
batteries;14;0.00247%;1011010000000;
bayonets;14;0.00247%;1011100000000;
harder;14;0.00247%;1011100000000;
shaggy;14;0.00247%;1011100000000;
flowed;14;0.00247%;1011100000000;
rewards;14;0.00247%;1011110000000;
sabers;14;0.00247%;1011110000000;
stretchers;14;0.00247%;1011110000000;
bullet;14;0.00247%;1011100000000;
foreseen;14;0.00247%;1011100000000;
main;14;0.00247%;1011110000000;
impressions;14;0.00247%;1011100000000;
pleasantly;14;0.00247%;1011100000000;
dealing;14;0.00247%;1011100000000;
proof;14;0.00247%;1011110000000;
detachments;14;0.00247%;1011100000000;
orderlies;14;0.00247%;1011010000000;
noticeable;14;0.00247%;1011010000000;
discovered;14;0.00247%;1011000000000;
roll;14;0.00247%;1011000000000;
peaceful;14;0.00247%;1011100000000;
honest;14;0.00247%;1011100000000;
dispute;14;0.00247%;1011110000000;
ammunition;14;0.00247%;1011000000000;
grabern;14;0.00247%;1011000000000;
straining;14;0.00247%;1011100000000;
wheel;14;0.00247%;1011100000000;
bleeding;14;0.00247%;1011100000000;
commencement;14;0.00247%;1011100000000;
increasing;14;0.00247%;1011100000000;
irresistible;14;0.00247%;1011100000000;
belong;14;0.00247%;1011100000000;
barrier;14;0.00247%;1011100000000;
unpleasantly;14;0.00247%;1011010000000;
avenue;14;0.00247%;1011110000000;
bouriennes;14;0.00247%;1011010000000;
anatoles;14;0.00247%;1011100000000;
crime;14;0.00247%;1011100000000;
quarrel;14;0.00247%;1011110000000;
passions;14;0.00247%;1011000000000;
ridiculous;14;0.00247%;1011000000000;
moonlight;14;0.00247%;1011000000000;
mistakes;14;0.00247%;1011110000000;
attributed;14;0.00247%;1011000000000;
region;14;0.00247%;1011010000000;
bind;14;0.00247%;1011010000000;
leaders;14;0.00247%;1011110000000;
eve;14;0.00247%;1011000000000;
mystery;14;0.00247%;1011000000000;
dealt;14;0.00247%;1011100000000;
wisdom;14;0.00247%;1011100000000;
souls;14;0.00247%;1011000000000;
sacred;14;0.00247%;1011000000000;
becomes;14;0.00247%;1011000000000;
surrender;14;0.00247%;1011110000000;
m;14;0.00247%;1011000000000;
stores;14;0.00247%;1011000000000;
twentyfourth;14;0.00247%;1011000000000;
process;14;0.00247%;1011110000000;
realm;14;0.00247%;1011100000000;
resulted;14;0.00247%;1011100000000;
natalie;14;0.00247%;1011000000000;
turkey;14;0.00247%;1011010000000;
cattle;14;0.00247%;1011000000000;
escort;14;0.00247%;1011000000000;
paulucci;14;0.00247%;1011000000000;
cutting;14;0.00247%;1011000000000;
abandonment;14;0.00247%;1011000000000;
july;13;0.00229%;101100000000;
fdorovna;13;0.00229%;101100000000;
invalid;13;0.00229%;1001000000000;
tonight;13;0.00229%;101100000000;
clock;13;0.00229%;101100000000;
crush;13;0.00229%;101100000000;
england;13;0.00229%;101010000000;
prussian;13;0.00229%;110000000000;
creature;13;0.00229%;110000000000;
distributed;13;0.00229%;110000000000;
pitied;13;0.00229%;110000000000;
lately;13;0.00229%;110000000000;
f;13;0.00229%;110000000000;
perceptible;13;0.00229%;101100000000;
educated;13;0.00229%;101100000000;
exchanging;13;0.00229%;101100000000;
alarmed;13;0.00229%;101100000000;
lights;13;0.00229%;101101000000;
tale;13;0.00229%;101010000000;
whenever;13;0.00229%;101101000000;
shrugging;13;0.00229%;101100000000;
appreciated;13;0.00229%;101100000000;
conversing;13;0.00229%;101101000000;
overtook;13;0.00229%;101101000000;
connections;13;0.00229%;101101000000;
latest;13;0.00229%;101111000000;
sighing;13;0.00229%;101101000000;
extreme;13;0.00229%;101111000000;
unlike;13;0.00229%;110000000000;
forgiveness;13;0.00229%;110000000000;
justify;13;0.00229%;110000000000;
taste;13;0.00229%;110000000000;
sisterinlaw;13;0.00229%;101101000000;
blocking;13;0.00229%;101101000000;
assure;13;0.00229%;101001000000;
drooping;13;0.00229%;110000000000;
apparent;13;0.00229%;110000000000;
flashed;13;0.00229%;110000000000;
il;13;0.00229%;110000000000;
lighted;13;0.00229%;110000000000;
anxiously;13;0.00229%;110000000000;
tipsy;13;0.00229%;101110000000;
slipping;13;0.00229%;101001000000;
dmtri;13;0.00229%;101110000000;
suffer;13;0.00229%;110010000000;
doorway;13;0.00229%;110010000000;
severity;13;0.00229%;101110000000;
dashed;13;0.00229%;101101000000;
regarding;13;0.00229%;101101000000;
unnaturally;13;0.00229%;101110000000;
maintain;13;0.00229%;101110000000;
secrets;13;0.00229%;101100000000;
learning;13;0.00229%;101100000000;
flower;13;0.00229%;101110000000;
brushed;13;0.00229%;101110000000;
mirror;13;0.00229%;101110000000;
checked;13;0.00229%;101110000000;
stake;13;0.00229%;101101000000;
upstairs;13;0.00229%;101101000000;
apartments;13;0.00229%;101101000000;
est;13;0.00229%;101101000000;
absurd;13;0.00229%;110000000000;
gloves;13;0.00229%;110000000000;
lively;13;0.00229%;101101000000;
unseen;13;0.00229%;101101000000;
wondered;13;0.00229%;101101000000;
sallow;13;0.00229%;101100000000;
honorable;13;0.00229%;101101000000;
skin;13;0.00229%;101100000000;
drowned;13;0.00229%;101100000000;
gaiety;13;0.00229%;101100000000;
feather;13;0.00229%;101101000000;
pink;13;0.00229%;101101000000;
toes;13;0.00229%;101101000000;
resembling;13;0.00229%;101101000000;
catherine;13;0.00229%;101110000000;
envy;13;0.00229%;101110000000;
reasonable;13;0.00229%;101110000000;
instinctively;13;0.00229%;110010000000;
guide;13;0.00229%;101110000000;
smaller;13;0.00229%;101110000000;
waist;13;0.00229%;101110000000;
astonishment;13;0.00229%;110010000000;
vice;13;0.00229%;101110000000;
paragraph;13;0.00229%;101110000000;
belief;13;0.00229%;101101000000;
representative;13;0.00229%;101101000000;
kingdom;13;0.00229%;101110000000;
witnessed;13;0.00229%;101110000000;
contemptuous;13;0.00229%;110010000000;
handing;13;0.00229%;110010000000;
happily;13;0.00229%;101011000000;
archduke;13;0.00229%;101011000000;
tight;13;0.00229%;101101000000;
comparison;13;0.00229%;101110000000;
extent;13;0.00229%;101101000000;
shant;13;0.00229%;101101000000;
skillful;13;0.00229%;101101000000;
wise;13;0.00229%;110000000000;
brighter;13;0.00229%;110000000000;
shared;13;0.00229%;110000000000;
misfortunes;13;0.00229%;101111000000;
allies;13;0.00229%;110000000000;
abashed;13;0.00229%;101111000000;
stolen;13;0.00229%;110000000000;
mustnt;13;0.00229%;110000000000;
fright;13;0.00229%;101011000000;
downcast;13;0.00229%;101011000000;
actually;13;0.00229%;101111000000;
horizon;13;0.00229%;101111000000;
appearing;13;0.00229%;101110000000;
grapeshot;13;0.00229%;101111000000;
hinder;13;0.00229%;101111000000;
groans;13;0.00229%;101011000000;
escaped;13;0.00229%;11101100111;
repulsed;13;0.00229%;101011000000;
threatened;13;0.00229%;101011000000;
instinct;13;0.00229%;101011000000;
communication;13;0.00229%;11101100110;
anothers;13;0.00229%;110010000000;
plumes;13;0.00229%;110010000000;
examine;13;0.00229%;110010000000;
temple;13;0.00229%;101111000000;
directing;13;0.00229%;110010000000;
bottom;13;0.00229%;101111000000;
offering;13;0.00229%;101111000000;
posts;13;0.00229%;101111000000;
execute;13;0.00229%;101110000000;
altogether;13;0.00229%;101110000000;
slope;13;0.00229%;101110000000;
energetic;13;0.00229%;101011000000;
flow;13;0.00229%;101011000000;
repeatedly;13;0.00229%;101111000000;
storm;13;0.00229%;101111000000;
remarkable;13;0.00229%;101111000000;
lover;13;0.00229%;101011000000;
disperse;13;0.00229%;101011000000;
sunk;13;0.00229%;101111000000;
frankly;13;0.00229%;10111110001;
insult;13;0.00229%;101111000000;
heap;13;0.00229%;110000000000;
worried;13;0.00229%;110000000000;
tsars;13;0.00229%;101111000000;
rapture;13;0.00229%;101111000000;
personages;13;0.00229%;101111000000;
outposts;13;0.00229%;101111000000;
complicated;13;0.00229%;101001000000;
remorse;13;0.00229%;110000000000;
midnight;13;0.00229%;110000000000;
crushed;13;0.00229%;101111000000;
recall;13;0.00229%;101001000000;
dusty;13;0.00229%;101111000000;
splashing;13;0.00229%;110010000000;
moaning;13;0.00229%;110010000000;
recover;13;0.00229%;110010000000;
skirt;13;0.00229%;110010000000;
rubbish;13;0.00229%;101010000000;
december;13;0.00229%;101010000000;
majordomo;13;0.00229%;101011000000;
recovered;13;0.00229%;101100000000;
prayers;13;0.00229%;101100000000;
undressing;13;0.00229%;101100000000;
beard;13;0.00229%;101011000000;
trousers;13;0.00229%;101100000000;
partly;13;0.00229%;101111000000;
divisions;13;0.00229%;101111000000;
salt;13;0.00229%;101011000000;
argument;13;0.00229%;110010000000;
comprehensible;13;0.00229%;110010000000;
pernskaya;13;0.00229%;110010000000;
mtenka;13;0.00229%;110010000000;
mlka;13;0.00229%;101101000000;
oats;13;0.00229%;101101000000;
troyka;13;0.00229%;101101000000;
phenomena;13;0.00229%;101011000000;
berthier;13;0.00229%;101101000000;
warfare;13;0.00229%;101100000000;
interpreter;13;0.00229%;101100000000;
ravski;13;0.00229%;110010000000;
goods;13;0.00229%;101100000000;
termed;13;0.00229%;101100000000;
corn;13;0.00229%;101010000000;
domain;13;0.00229%;110010000000;
bolkhovtinov;13;0.00229%;101010000000;
copyright;13;0.00229%;101100000000;
literary;13;0.00229%;101100000000;
archive;13;0.00229%;101100000000;
faithful;12;0.00211%;1111110000000000;
disconcerted;12;0.00211%;1111110000000000;
continual;12;0.00211%;100010001;
virtuous;12;0.00211%;1111110000000000;
tact;12;0.00211%;100010000;
ecstatic;12;0.00211%;1111110000000000;
downwards;12;0.00211%;1111110000000000;
behalf;12;0.00211%;1111110000000000;
filling;12;0.00211%;1111110000000000;
velvet;12;0.00211%;1111110000000000;
reference;12;0.00211%;1111110000000000;
rejoined;12;0.00211%;1111110000000000;
machine;12;0.00211%;1111110000000000;
steady;12;0.00211%;1111110000000000;
manners;12;0.00211%;1111110000000000;
murder;12;0.00211%;1111110000000000;
grimace;12;0.00211%;1111110000000000;
witty;12;0.00211%;1111110000000000;
balance;12;0.00211%;1111110000000000;
annoyance;12;0.00211%;1111110000000000;
solely;12;0.00211%;1111110000000000;
consideration;12;0.00211%;1111110000000000;
dieu;12;0.00211%;111100111;
gravity;12;0.00211%;1111110000000000;
terrified;12;0.00211%;111100110;
suppressed;12;0.00211%;111000011;
press;12;0.00211%;111000010;
commit;12;0.00211%;1111110000000000;
happier;12;0.00211%;111100101;
calls;12;0.00211%;111100100;
piteous;12;0.00211%;1111110000000000;
rare;12;0.00211%;1111110000000000;
safe;12;0.00211%;1111110000000000;
worked;12;0.00211%;1111110000000000;
simplest;12;0.00211%;1111110000000000;
careless;12;0.00211%;1111110000000000;
crimson;12;0.00211%;1111110000000000;
superiority;12;0.00211%;111000001;
kurgins;12;0.00211%;111000000;
sly;12;0.00211%;1111110000000000;
linen;12;0.00211%;1111110000000000;
rum;12;0.00211%;1111110000000000;
corners;12;0.00211%;100101;
attract;12;0.00211%;100100;
s;12;0.00211%;100111;
kargina;12;0.00211%;100110;
cyril;12;0.00211%;1111110000000000;
aged;12;0.00211%;1111110000000000;
swiftly;12;0.00211%;1111110000000000;
pull;12;0.00211%;1111110000000000;
rushing;12;0.00211%;1111110000000000;
taught;12;0.00211%;1111110000000000;
gain;12;0.00211%;1111110000000000;
surely;12;0.00211%;1111110000000000;
announce;12;0.00211%;1111110000000000;
assigned;12;0.00211%;1111110000000000;
comfortable;12;0.00211%;1111110000000000;
flushing;12;0.00211%;1111110000000000;
queer;12;0.00211%;1111110000000000;
piercing;12;0.00211%;1111110000000000;
uneasy;12;0.00211%;1111110000000000;
embrace;12;0.00211%;1111110000000000;
smoking;12;0.00211%;111011111;
neighbors;12;0.00211%;1111110000000000;
washed;12;0.00211%;111011110;
travel;12;0.00211%;111011101;
jealousy;12;0.00211%;111011100;
strained;12;0.00211%;1111110000000000;
un;12;0.00211%;1111110000000000;
majority;12;0.00211%;1111110000000000;
stroke;12;0.00211%;1111110000000000;
whispers;12;0.00211%;1111110000000000;
sixty;12;0.00211%;1111110000000000;
wills;12;0.00211%;1111110000000000;
clutching;12;0.00211%;1111110000000000;
services;12;0.00211%;1111110000000000;
shadow;12;0.00211%;1111110000000000;
cast;12;0.00211%;1111110000000000;
carpets;12;0.00211%;1111110000000000;
approved;12;0.00211%;101000111;
stirred;12;0.00211%;1111110000000000;
utmost;12;0.00211%;1111110000000000;
flattering;12;0.00211%;1111110000000000;
threshold;12;0.00211%;1111110000000000;
shyly;12;0.00211%;1111110000000000;
virtues;12;0.00211%;1111110000000000;
powdered;12;0.00211%;1111110000000000;
hum;12;0.00211%;1111110000000000;
patted;12;0.00211%;1111110000000000;
pleasures;12;0.00211%;1111110000000000;
preserve;12;0.00211%;100011101;
wives;12;0.00211%;100011100;
skill;12;0.00211%;1111110000000000;
frenchwoman;12;0.00211%;1111110000000000;
subjects;12;0.00211%;1110110;
naples;12;0.00211%;1111110000000000;
confined;12;0.00211%;1111110000000000;
selected;12;0.00211%;1111110000000000;
panting;12;0.00211%;10111;
contented;12;0.00211%;10110;
fail;12;0.00211%;10101;
rays;12;0.00211%;10100;
frequent;12;0.00211%;1101110;
towns;12;0.00211%;1111110000000000;
admired;12;0.00211%;1101101;
engrossed;12;0.00211%;1101100;
captains;12;0.00211%;1111110000000000;
coats;12;0.00211%;1111110000000000;
reduced;12;0.00211%;1111110000000000;
wild;12;0.00211%;1111110000000000;
fulfilled;12;0.00211%;1111110000000000;
valued;12;0.00211%;1111110000000000;
wave;12;0.00211%;1111110000000000;
breathless;12;0.00211%;1111110000000000;
rage;12;0.00211%;1111110000000000;
cheerfully;12;0.00211%;1111110000000000;
falls;12;0.00211%;1111110000000000;
troubled;12;0.00211%;1111110000000000;
commission;12;0.00211%;1111110000000000;
island;12;0.00211%;1111110000000000;
healthy;12;0.00211%;1111110000000000;
valley;12;0.00211%;1111110000000000;
stumbled;12;0.00211%;111101110;
mount;12;0.00211%;1111110000000000;
attacks;12;0.00211%;111101101;
krems;12;0.00211%;111101100;
clearness;12;0.00211%;1110101;
deceived;12;0.00211%;1111110000000000;
negotiations;12;0.00211%;1110100;
bewildered;12;0.00211%;1111110000000000;
du;12;0.00211%;1111110000000000;
endless;12;0.00211%;1111110000000000;
incessant;12;0.00211%;1111110000000000;
seventh;12;0.00211%;1111110000000000;
push;12;0.00211%;1110001;
urged;12;0.00211%;1111110000000000;
fury;12;0.00211%;1110000;
znaim;12;0.00211%;100101101;
buxhwden;12;0.00211%;111101011;
trains;12;0.00211%;111101010;
depression;12;0.00211%;111101001;
undressed;12;0.00211%;111101000;
shelter;12;0.00211%;100101111;
picket;12;0.00211%;100101110;
maintained;12;0.00211%;100101001;
constructed;12;0.00211%;100101000;
withdraw;12;0.00211%;1111110000000000;
manly;12;0.00211%;1111110000000000;
conceive;12;0.00211%;1111110000000000;
cannonade;12;0.00211%;1111110000000000;
owing;12;0.00211%;100101010;
noncommissioned;12;0.00211%;111010001;
flowing;12;0.00211%;1111110000000000;
realizing;12;0.00211%;1111110000000000;
borne;12;0.00211%;1111110000000000;
hesitating;12;0.00211%;1111110000000000;
bloodstained;12;0.00211%;1111110000000000;
propose;12;0.00211%;1111110000000000;
coughed;12;0.00211%;1111110000000000;
undertaking;12;0.00211%;1111110000000000;
variety;12;0.00211%;1111110000000000;
acquired;12;0.00211%;110000101;
tales;12;0.00211%;110000100;
submitted;12;0.00211%;1111110000000000;
struggling;12;0.00211%;1111110000000000;
provided;12;0.00211%;1111110000000000;
relate;12;0.00211%;1111110000000000;
hated;12;0.00211%;111011011;
decorations;12;0.00211%;1111110000000000;
activities;12;0.00211%;1111110000000000;
stillness;12;0.00211%;1111110000000000;
undecided;12;0.00211%;1111110000000000;
level;12;0.00211%;1111110000000000;
chestnut;12;0.00211%;1111110000000000;
method;12;0.00211%;1111110000000000;
disputing;12;0.00211%;1111110000000000;
shoot;12;0.00211%;111100011;
describing;12;0.00211%;111100010;
unnoticed;12;0.00211%;1111110000000000;
ruler;12;0.00211%;1111110000000000;
strangers;12;0.00211%;1111110000000000;
management;12;0.00211%;1111110000000000;
vaguely;12;0.00211%;1111110000000000;
restless;12;0.00211%;1111110000000000;
freemasons;12;0.00211%;1111110000000000;
invented;12;0.00211%;1111110000000000;
infinitely;12;0.00211%;1111110000000000;
inquiries;12;0.00211%;1111110000000000;
womens;12;0.00211%;1111110000000000;
despised;12;0.00211%;111100001;
trench;12;0.00211%;111100000;
tavern;12;0.00211%;10111111;
entry;12;0.00211%;1111110000000000;
pursuit;12;0.00211%;1111110000000000;
elements;12;0.00211%;110011011;
produces;12;0.00211%;110011010;
depend;12;0.00211%;1111110000000000;
bast;12;0.00211%;1111110000000000;
simon;12;0.00211%;1010000110;
picture;12;0.00211%;1111110000000000;
solution;12;0.00211%;1111110000000000;
protection;12;0.00211%;1010000101;
soil;12;0.00211%;1111110000000000;
herd;12;0.00211%;1111110000000000;
dependence;12;0.00211%;1111110000000000;
volknski;12;0.00211%;1111110000000000;
merchants;12;0.00211%;101101101;
ferapntov;12;0.00211%;101111110;
thiers;12;0.00211%;101101100;
karp;12;0.00211%;1111110000000000;
twentysixth;12;0.00211%;1111110000000000;
national;12;0.00211%;1111110000000000;
mytshchi;12;0.00211%;1111110000000000;
orl;12;0.00211%;101101111;
ebook;11;0.00194%;1110110000000000;
included;11;0.00194%;1110100000000000;
delivered;11;0.00194%;1110110000000000;
spending;11;0.00194%;1110110000000000;
refined;11;0.00194%;1110100000000000;
named;11;0.00194%;1110100000000000;
youngest;11;0.00194%;1110110000000000;
perception;11;0.00194%;1110110000000000;
conducted;11;0.00194%;1110100000000000;
murmured;11;0.00194%;1110100000000000;
missing;11;0.00194%;1110100000000000;
folds;11;0.00194%;1110110000000000;
subsequently;11;0.00194%;1110110000000000;
praise;11;0.00194%;1110110000000000;
pet;11;0.00194%;1110110000000000;
deprive;11;0.00194%;1110110000000000;
affectation;11;0.00194%;1110110000000000;
although;11;0.00194%;1110110000000000;
politely;11;0.00194%;1110110000000000;
revoir;11;0.00194%;1110110000000000;
restored;11;0.00194%;1110100000000000;
ironical;11;0.00194%;1110110000000000;
horrible;11;0.00194%;1110100000000000;
christian;11;0.00194%;1110110000000000;
disagreeable;11;0.00194%;1110110000000000;
phrases;11;0.00194%;1110110000000000;
trivial;11;0.00194%;1110100000000000;
lacked;11;0.00194%;1110100000000000;
intending;11;0.00194%;1110110000000000;
gathering;11;0.00194%;1110110000000000;
bet;11;0.00194%;1110110000000000;
distinct;11;0.00194%;1110110000000000;
sill;11;0.00194%;1110110000000000;
challenge;11;0.00194%;1110110000000000;
compressed;11;0.00194%;1110110000000000;
erect;11;0.00194%;1110110000000000;
staring;11;0.00194%;1110110000000000;
faint;11;0.00194%;1110110000000000;
slip;11;0.00194%;1110110000000000;
counting;11;0.00194%;1110110000000000;
staircase;11;0.00194%;1110110000000000;
mikhylovnas;11;0.00194%;1110110000000000;
equipment;11;0.00194%;1110110000000000;
resulting;11;0.00194%;1110110000000000;
eighty;11;0.00194%;1110110000000000;
dine;11;0.00194%;1110110000000000;
muscular;11;0.00194%;1110110000000000;
reserve;11;0.00194%;1110110000000000;
childrens;11;0.00194%;1110110000000000;
invisible;11;0.00194%;1110110000000000;
sobbed;11;0.00194%;1110110000000000;
solemnity;11;0.00194%;1110110000000000;
adjoining;11;0.00194%;1110110000000000;
scarf;11;0.00194%;1110110000000000;
someones;11;0.00194%;1110110000000000;
handle;11;0.00194%;1110110000000000;
accent;11;0.00194%;1110110000000000;
offensive;11;0.00194%;1110110000000000;
proportion;11;0.00194%;1110110000000000;
depressed;11;0.00194%;1110100000000000;
disposition;11;0.00194%;1110100000000000;
mr;11;0.00194%;1110110000000000;
warmly;11;0.00194%;1110110000000000;
treasure;11;0.00194%;1110110000000000;
manifesto;11;0.00194%;1110110000000000;
expressions;11;0.00194%;1110110000000000;
bearing;11;0.00194%;1110100000000000;
wherever;11;0.00194%;1110100000000000;
napkin;11;0.00194%;1110100000000000;
comforting;11;0.00194%;1110110000000000;
bliss;11;0.00194%;1110100000000000;
intervals;11;0.00194%;1110110000000000;
tune;11;0.00194%;1110110000000000;
creaked;11;0.00194%;1110110000000000;
easier;11;0.00194%;1110110000000000;
impatiently;11;0.00194%;1110110000000000;
vile;11;0.00194%;1110110000000000;
trust;11;0.00194%;1110110000000000;
jerked;11;0.00194%;1110110000000000;
pillows;11;0.00194%;1110110000000000;
freshly;11;0.00194%;1110110000000000;
brow;11;0.00194%;1110110000000000;
sleepless;11;0.00194%;1110110000000000;
worldly;11;0.00194%;1110110000000000;
deceive;11;0.00194%;1110110000000000;
pitiful;11;0.00194%;1110110000000000;
paul;11;0.00194%;1110110000000000;
boot;11;0.00194%;1110110000000000;
separation;11;0.00194%;1110110000000000;
overcome;11;0.00194%;1110110000000000;
seldom;11;0.00194%;1110110000000000;
owner;11;0.00194%;1110110000000000;
largest;11;0.00194%;1110110000000000;
sheet;11;0.00194%;1110110000000000;
providence;11;0.00194%;1110110000000000;
brief;11;0.00194%;1110110000000000;
humor;11;0.00194%;1110110000000000;
morose;11;0.00194%;1110110000000000;
hood;11;0.00194%;1110110000000000;
italy;11;0.00194%;1110110000000000;
b;11;0.00194%;1110110000000000;
harnessed;11;0.00194%;1110110000000000;
bitter;11;0.00194%;1110110000000000;
blamed;11;0.00194%;1110110000000000;
pole;11;0.00194%;1110110000000000;
apron;11;0.00194%;1110100000000000;
ironic;11;0.00194%;1110110000000000;
preparation;11;0.00194%;1110110000000000;
devils;11;0.00194%;1110100000000000;
composed;11;0.00194%;1110100000000000;
ulm;11;0.00194%;1110100000000000;
vent;11;0.00194%;1110100000000000;
pour;11;0.00194%;1110110000000000;
throughout;11;0.00194%;1110100000000000;
clearing;11;0.00194%;1110110000000000;
gloomily;11;0.00194%;1110110000000000;
purple;11;0.00194%;1110110000000000;
mustaches;11;0.00194%;1110110000000000;
castle;11;0.00194%;1110110000000000;
deafening;11;0.00194%;1110110000000000;
solitary;11;0.00194%;1110110000000000;
waves;11;0.00194%;1110110000000000;
resounded;11;0.00194%;1110110000000000;
horsemen;11;0.00194%;1110110000000000;
groaned;11;0.00194%;1110110000000000;
rattle;11;0.00194%;1110110000000000;
consequence;11;0.00194%;1110110000000000;
brnn;11;0.00194%;1110110000000000;
buildings;11;0.00194%;1110110000000000;
victories;11;0.00194%;1110110000000000;
ambassador;11;0.00194%;1110110000000000;
bilbins;11;0.00194%;1110110000000000;
auersperg;11;0.00194%;1110110000000000;
grieved;11;0.00194%;1110110000000000;
heroism;11;0.00194%;1110110000000000;
tormenting;11;0.00194%;1110110000000000;
shock;11;0.00194%;1110100000000000;
spy;11;0.00194%;1110110000000000;
vanguard;11;0.00194%;1110100000000000;
dug;11;0.00194%;1110110000000000;
screams;11;0.00194%;1110110000000000;
forming;11;0.00194%;1110110000000000;
successfully;11;0.00194%;1110110000000000;
purposely;11;0.00194%;1110110000000000;
struggled;11;0.00194%;1110110000000000;
sharpshooters;11;0.00194%;1110110000000000;
downhill;11;0.00194%;1110110000000000;
alien;11;0.00194%;1110110000000000;
diminished;11;0.00194%;1110100000000000;
depth;11;0.00194%;1110100000000000;
helpless;11;0.00194%;1110110000000000;
halting;11;0.00194%;1110110000000000;
refusing;11;0.00194%;1110110000000000;
sleighs;11;0.00194%;1110110000000000;
rendered;11;0.00194%;1110110000000000;
changes;11;0.00194%;1110110000000000;
fancied;11;0.00194%;1110110000000000;
assumption;11;0.00194%;1110100000000000;
dreams;11;0.00194%;1110100000000000;
nightcap;11;0.00194%;1110100000000000;
honey;11;0.00194%;1110100000000000;
knot;11;0.00194%;1110110000000000;
bergs;11;0.00194%;1110110000000000;
tsarvich;11;0.00194%;1110110000000000;
lighting;11;0.00194%;1110110000000000;
insignificance;11;0.00194%;1110110000000000;
georges;11;0.00194%;1110110000000000;
poured;11;0.00194%;1110110000000000;
unbuttoned;11;0.00194%;1110110000000000;
frozen;11;0.00194%;1110100000000000;
phenomenon;11;0.00194%;1110100000000000;
irritable;11;0.00194%;1110110000000000;
mazurka;11;0.00194%;1110110000000000;
logical;11;0.00194%;1110110000000000;
regretted;11;0.00194%;1110110000000000;
criminal;11;0.00194%;1110110000000000;
assented;11;0.00194%;1110110000000000;
kerchief;11;0.00194%;1110110000000000;
coffin;11;0.00194%;1110110000000000;
christmas;11;0.00194%;1110110000000000;
dmtrich;11;0.00194%;1110110000000000;
traveler;11;0.00194%;1110100000000000;
personality;11;0.00194%;1110100000000000;
opposed;11;0.00194%;1110100000000000;
masons;11;0.00194%;1110100000000000;
sciences;11;0.00194%;1110100000000000;
exchange;11;0.00194%;1110100000000000;
irritability;11;0.00194%;1110110000000000;
cot;11;0.00194%;1110110000000000;
bennigsens;11;0.00194%;1110100000000000;
looting;11;0.00194%;1110100000000000;
cure;11;0.00194%;1110100000000000;
deity;11;0.00194%;1110100000000000;
convince;11;0.00194%;1110100000000000;
consists;11;0.00194%;1110100000000000;
vestibule;11;0.00194%;1101110000000000;
preobrazhnsk;11;0.00194%;1110100000000000;
grandeur;11;0.00194%;1110100000000000;
kochuby;11;0.00194%;1110110000000000;
magntski;11;0.00194%;1110100000000000;
contradict;11;0.00194%;1110100000000000;
institutions;11;0.00194%;1110110000000000;
characters;11;0.00194%;1110110000000000;
proving;11;0.00194%;1110110000000000;
huntsmen;11;0.00194%;1110110000000000;
bitch;11;0.00194%;1110110000000000;
leash;11;0.00194%;1110110000000000;
judgment;11;0.00194%;1110110000000000;
belva;11;0.00194%;1110110000000000;
mummers;11;0.00194%;1110110000000000;
mtivier;11;0.00194%;1110110000000000;
accused;11;0.00194%;1110100000000000;
justification;11;0.00194%;1110100000000000;
armfeldt;11;0.00194%;1110110000000000;
landowners;11;0.00194%;1110100000000000;
patriotism;11;0.00194%;1110110000000000;
writers;11;0.00194%;1110100000000000;
ykov;11;0.00194%;1110110000000000;
broadsheets;11;0.00194%;1110110000000000;
ooh;11;0.00194%;1110110000000000;
publican;11;0.00194%;1110110000000000;
superintendent;11;0.00194%;1110110000000000;
yaroslvl;11;0.00194%;1110100000000000;
guerrilla;11;0.00194%;1110100000000000;
access;11;0.00194%;1110110000000000;
title;10;0.00176%;1100100000000000;
xxiii;10;0.00176%;1100100000000000;
fourteen;10;0.00176%;1100100000000000;
slave;10;0.00176%;1100100000000000;
annette;10;0.00176%;1100100000000000;
fete;10;0.00176%;1100100000000000;
enthusiastic;10;0.00176%;1100100000000000;
