Word;Count;Probability;Huffman Code;Max Length Code
battle;354;0.06237%;11101110110;
take;352;0.06202%;11101101001;
understand;350;0.06167%;11101011001;
evidently;350;0.06167%;11101011010;
last;347;0.06114%;11101001101;
yet;346;0.06096%;11101001100;
sat;345;0.06079%;11101000111;
every;334;0.05885%;11011000101;
father;334;0.05885%;11011000100;
door;332;0.05850%;11011000000;
herself;328;0.05779%;11010000011;
most;326;0.05744%;11010000000;
already;326;0.05744%;11010000010;
feeling;320;0.05638%;11001010110;
going;319;0.05620%;11000111101;
oh;315;0.05550%;11000110101;
might;315;0.05550%;11000110100;
others;314;0.05532%;11000101110;
place;311;0.05480%;11000100000;
behind;311;0.05480%;11000100001;
stood;308;0.05427%;10111110110;
gave;306;0.05391%;10111011001;
done;303;0.05339%;10111000110;
war;301;0.05303%;10111000100;
replied;301;0.05303%;10111000001;
expression;301;0.05303%;10111000101;
side;299;0.05268%;10110110100;
position;296;0.05215%;10110101011;
order;295;0.05198%;10110100110;
anything;294;0.05180%;10110100001;
anna;293;0.05162%;10110100000;
may;292;0.05145%;10101111111;
toward;292;0.05145%;10101111110;
bors;291;0.05127%;10101011101;
thats;288;0.05074%;10101000100;
seen;288;0.05074%;10101000011;
commander;288;0.05074%;10100111111;
horse;287;0.05057%;10100111100;
new;286;0.05039%;10100111010;
dlokhov;286;0.05039%;10100111001;
give;282;0.04969%;10011111100;
make;277;0.04880%;10011101010;
put;271;0.04775%;10010111010;
also;270;0.04757%;10010110110;
front;265;0.04669%;10010011010;
god;264;0.04651%;1110111011;
hands;264;0.04651%;10010000011;
great;263;0.04634%;1110111001;
horses;263;0.04634%;1110110111;
ran;262;0.04616%;1110011111;
both;262;0.04616%;1110110110;
troops;261;0.04599%;1110011110;
three;256;0.04510%;1101010001;
talk;254;0.04475%;1101001000;
soon;252;0.04440%;1100011110;
officers;252;0.04440%;1100011001;
want;251;0.04422%;1011011011;
shall;249;0.04387%;1011010101;
wife;249;0.04387%;1011011000;
ptya;248;0.04370%;1011010100;
ill;247;0.04352%;1011001000;
petersburg;244;0.04299%;1010010010;
shouted;244;0.04299%;1010010101;
alone;243;0.04281%;1010001011;
taken;243;0.04281%;1010001010;
between;240;0.04229%;1010000000;
chief;239;0.04211%;1001100011;
part;237;0.04176%;1001011000;
word;235;0.04140%;1001001000;
many;234;0.04123%;1001000001;
whether;234;0.04123%;111111111;
things;233;0.04105%;111111101;
saying;233;0.04105%;111111100;
son;230;0.04052%;110111100;
letter;230;0.04052%;110111001;
thing;229;0.04035%;110110101;
called;228;0.04017%;110010111;
along;227;0.04000%;110010110;
mind;226;0.03982%;110001111;
regiment;226;0.03982%;110001110;
sent;225;0.03964%;110001001;
table;225;0.03964%;110001100;
during;224;0.03947%;101011101;
against;224;0.03947%;101100100;
everyone;223;0.03929%;101010011;
found;223;0.03929%;101010110;
rode;223;0.03929%;101010101;
sitting;220;0.03876%;100110110;
night;220;0.03876%;100110111;
question;218;0.03841%;100110100;
rostvs;217;0.03823%;100110001;
evening;216;0.03806%;100100101;
entered;216;0.03806%;100101011;
moved;216;0.03806%;100011011;
among;216;0.03806%;100101101;
continued;215;0.03788%;100011010;
vasli;214;0.03770%;100010010;
days;214;0.03770%;100010100;
speak;214;0.03770%;100010101;
drawing;213;0.03753%;11111111;
brought;211;0.03718%;11110100;
crowd;211;0.03718%;11101011;
added;210;0.03700%;11100110;
leave;210;0.03700%;11100011;
cried;210;0.03700%;11100111;
wounded;210;0.03700%;11100010;
morning;209;0.03682%;11001001;
power;209;0.03682%;11001011;
does;208;0.03665%;10111101;
anatole;208;0.03665%;10110110;
near;207;0.03647%;10011011;
enemy;207;0.03647%;10100100;
received;205;0.03612%;10010011;
road;204;0.03594%;10010010;
really;203;0.03577%;1111101;
taking;203;0.03577%;1111110;
got;203;0.03577%;1111010;
themselves;203;0.03577%;1111100;
orders;201;0.03541%;1110100;
ask;200;0.03524%;1011000;
mother;200;0.03524%;1010110;
understood;198;0.03489%;1001001;
lay;198;0.03489%;1000011;
fire;198;0.03489%;1001110;
cant;196;0.03453%;1000010;
action;195;0.03436%;111100;
white;194;0.03418%;101111;
happy;194;0.03418%;101100;
next;193;0.03400%;101010;
stopped;193;0.03400%;101001;
passed;191;0.03365%;111111000000;
wished;189;0.03330%;111110000000;
talking;189;0.03330%;111110000000;
rose;189;0.03330%;111110000000;
fellow;189;0.03330%;111110000000;
several;189;0.03330%;111110000000;
tried;189;0.03330%;111110000000;
wish;188;0.03312%;111110000000;
since;188;0.03312%;111110000000;
movement;187;0.03295%;111110000000;
soldier;187;0.03295%;111110000000;
anyone;186;0.03277%;111110000000;
end;186;0.03277%;111110000000;
beside;185;0.03260%;111101000000;
death;185;0.03260%;111101000000;
each;183;0.03224%;111101000000;
wanted;182;0.03207%;111101000000;
small;181;0.03189%;111101000000;
turning;181;0.03189%;111101000000;
given;180;0.03171%;111101000000;
ah;180;0.03171%;111101000000;
remained;180;0.03171%;111101000000;
noticed;179;0.03154%;111100000000;
arms;178;0.03136%;111100000000;
impossible;178;0.03136%;111100000000;
nor;177;0.03119%;111011000000;
longer;176;0.03101%;111010000000;
heart;176;0.03101%;111011000000;
arm;175;0.03083%;111010000000;
till;174;0.03066%;111010000000;
around;173;0.03048%;111010000000;
past;173;0.03048%;111010000000;
home;173;0.03048%;111010000000;
forward;173;0.03048%;111010000000;
woman;172;0.03030%;111010000000;
far;172;0.03030%;111010000000;
possible;172;0.03030%;111010000000;
matter;171;0.03013%;110111000000;
few;171;0.03013%;110111000000;
news;170;0.02995%;110111000000;
became;170;0.02995%;110111000000;
large;170;0.02995%;110111000000;
